iter	Passed	Remaining
0	49	24865
1	52	13011
2	54	8992
3	55	6874
4	57	5698
5	60	5009
6	64	4534
7	66	4061
8	67	3681
9	70	3445
10	73	3246
11	75	3086
12	79	2982
13	82	2860
14	86	2793
15	89	2693
16	93	2655
17	96	2583
18	100	2535
19	103	2472
20	105	2415
21	109	2388
22	113	2356
23	119	2369
24	122	2322
25	126	2303
26	129	2263
27	133	2244
28	135	2197
29	140	2206
30	143	2167
31	146	2149
32	150	2128
33	153	2107
34	156	2075
35	158	2041
36	160	2006
37	162	1969
38	163	1933
39	164	1895
40	166	1868
41	168	1838
42	170	1813
43	171	1780
44	173	1755
45	175	1729
46	177	1714
47	179	1692
48	180	1661
49	181	1635
50	183	1612
51	184	1592
52	186	1569
53	188	1554
54	189	1533
55	190	1509
56	192	1498
57	193	1478
58	195	1458
59	196	1441
60	197	1423
61	199	1408
62	200	1390
63	202	1382
64	204	1369
65	208	1368
66	209	1353
67	210	1339
68	212	1325
69	213	1312
70	215	1303
71	217	1290
72	218	1277
73	219	1264
74	220	1249
75	223	1244
76	225	1239
77	227	1228
78	228	1218
79	230	1209
80	231	1198
81	232	1187
82	234	1178
83	236	1171
84	238	1164
85	239	1152
86	240	1143
87	242	1134
88	243	1124
89	244	1115
90	246	1106
91	247	1097
92	249	1092
93	250	1083
94	252	1075
95	253	1066
96	254	1058
97	257	1055
98	259	1051
99	262	1049
100	264	1046
101	267	1041
102	269	1039
103	272	1035
104	273	1029
105	275	1022
106	276	1016
107	277	1009
108	279	1001
109	280	996
110	282	989
111	283	982
112	285	979
113	287	972
114	288	965
115	289	958
116	290	950
117	291	944
118	293	941
119	294	933
120	296	929
121	298	925
122	300	920
123	301	913
124	302	906
125	304	904
126	307	903
127	311	904
128	313	901
129	316	901
130	319	898
131	320	892
132	321	887
133	322	881
134	323	874
135	324	869
136	326	864
137	327	859
138	329	855
139	330	850
140	333	848
141	334	843
142	335	837
143	337	833
144	338	828
145	339	824
146	341	818
147	342	814
148	343	808
149	344	803
150	345	799
151	347	795
